Time,LF_FOOT_X,LF_FOOT_Y,LF_FOOT_Z,LH_FOOT_X,LH_FOOT_Y,LH_FOOT_Z,RF_FOOT_X,RF_FOOT_Y,RF_FOOT_Z,RH_FOOT_X,RH_FOOT_Y,RH_FOOT_Z,Base_lin_vel_X,Base_lin_vel_Y,Base_lin_vel_Z
69,3.4559558116598055e-05,0.0,257.21832275390625,0.0,0.0,0.0,0.0,0.0,0.0,2.236881664430257e-05,0.0,166.48562622070312,-1.0730562210083008,-1.2111800909042358,0.0024424754083156586
70,5.799292921437882e-06,0.0,43.1627197265625,0.0,0.0,0.0,1.6163930922630243e-06,0.0,12.030418395996094,0.0,0.0,0.0,-1.1649941205978394,-1.193306565284729,-0.18681219220161438
71,0.0,0.0,0.0,5.450906610349193e-05,0.0,405.6976318359375,4.0955928852781653e-05,0.0,304.8249816894531,0.0,0.0,0.0,-1.0327411890029907,-1.0472136735916138,-0.1898191124200821
72,0.0,0.0,0.0,4.584030102705583e-05,0.0,341.17816162109375,4.524459291133098e-05,0.0,336.74444580078125,0.0,0.0,0.0,-0.9659480452537537,-0.9910103678703308,-0.01953640580177307
73,0.0,0.0,0.0,3.9660029869992286e-05,0.0,295.1799011230469,3.664399264380336e-05,0.0,272.7322692871094,0.0,0.0,0.0,-0.933121383190155,-0.9969980120658875,0.09479421377182007
74,0.0,0.0,0.0,3.599381307139993e-05,0.0,267.8931579589844,3.519506208249368e-05,0.0,261.9482421875,0.0,0.0,0.0,-0.9587618708610535,-1.0207699537277222,0.14620724320411682
75,0.0,0.0,0.0,2.5513045329716988e-05,0.0,189.88735961914062,2.3273432816495188e-05,0.0,173.21847534179688,0.0,0.0,0.0,-1.002811074256897,-1.0981547832489014,0.1377735435962677
76,0.0,0.0,0.0,0.0,0.0,0.0,5.5487257668573875e-06,0.0,41.29780960083008,4.662067294702865e-05,0.0,346.98626708984375,-0.9909902811050415,-1.0802855491638184,0.12075189501047134
77,4.825157520826906e-05,0.0,359.12469482421875,0.0,0.0,0.0,0.0,0.0,0.0,2.7237245376454666e-05,0.0,202.7201690673828,-0.8927742838859558,-0.8906767964363098,0.06606778502464294
78,4.712177178589627e-05,0.0,350.7158203125,0.0,0.0,0.0,0.0,0.0,0.0,2.8329724955256097e-05,0.0,210.85121154785156,-0.8794361352920532,-0.8889544010162354,0.10018278658390045
